127.0.0.1 - - [28/Sep/2016:00:33:33 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:33:35 -0300] "GET /EasyMart/index.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:33:35 -0300] "GET /EasyMart/librerias/css/login.css HTTP/1.1" 200 2902
190.100.216.62 - - [28/Sep/2016:00:33:52 -0300] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 332
190.100.216.62 - - [28/Sep/2016:00:33:56 -0300] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.100.216.62 - - [28/Sep/2016:00:34:21 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 28860
190.100.216.62 - - [28/Sep/2016:00:34:54 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 282
190.100.216.62 - - [28/Sep/2016:00:34:54 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 296
190.100.216.62 - - [28/Sep/2016:00:34:55 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 599
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
190.100.216.62 - - [28/Sep/2016:00:35:06 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 338
