127.0.0.1 - - [08/Jun/2016:17:10:32 -0400] "GET / HTTP/1.1" 404 961
190.160.216.11 - - [08/Jun/2016:18:06:38 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:18:16:42 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:18:17:04 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:18:17:19 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:18:17:35 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:18:17:50 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:18:19:58 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 350
190.160.216.11 - - [08/Jun/2016:18:21:11 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 350
190.160.216.11 - - [08/Jun/2016:18:32:25 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:19:11:28 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:19:11:47 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 350
190.160.216.11 - - [08/Jun/2016:19:12:03 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:19:15:37 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:19:51 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:20:17 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:25:47 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:20:34:45 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:36:54 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:38:01 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:38:46 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 500 345
190.160.216.11 - - [08/Jun/2016:20:41:39 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:20:50:04 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:20:50:05 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:21:26:01 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.160.216.11 - - [08/Jun/2016:21:29:25 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 635
190.160.216.11 - - [08/Jun/2016:21:30:27 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:21:40:17 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:40:26 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:41:27 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:41:29 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:42:08 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:42:30 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:44:19 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:44:27 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:49:35 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.160.216.11 - - [08/Jun/2016:21:49:49 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 635
190.160.216.11 - - [08/Jun/2016:21:51:30 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:51:39 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:52:07 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:52:12 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:53:25 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:53:34 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:54:39 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:21:54:41 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:21:58:05 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:00:39 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:01:26 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:02:39 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:02:42 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:04:06 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:04:17 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:05:55 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:05:57 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:06:49 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:06:57 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:07:53 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:10:05 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:10:08 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:15:35 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:15:37 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:28:27 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:22:28:29 -0400] "GET /favicon.ico HTTP/1.1" 404 983
190.160.216.11 - - [08/Jun/2016:22:44:40 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:44:43 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:53:55 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:54:00 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:22:56:46 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:22:56:52 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.45.39.240 - - [08/Jun/2016:23:02:17 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.45.39.240 - - [08/Jun/2016:23:02:17 -0400] "GET /favicon.ico HTTP/1.1" 404 983
190.160.216.11 - - [08/Jun/2016:23:03:08 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:23:03:12 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:23:04:19 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:23:04:34 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:23:07:14 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:23:07:24 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:23:08:07 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:23:08:10 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.160.216.11 - - [08/Jun/2016:23:22:52 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.160.216.11 - - [08/Jun/2016:23:22:52 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 604
190.45.39.240 - - [08/Jun/2016:23:37:24 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.45.39.240 - - [08/Jun/2016:23:45:03 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.45.39.240 - - [08/Jun/2016:23:45:12 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 635
190.160.216.11 - - [08/Jun/2016:23:49:27 -0400] "GET /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 13623
190.160.216.11 - - [08/Jun/2016:23:49:59 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 277
190.45.39.240 - - [08/Jun/2016:23:54:42 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.45.39.240 - - [08/Jun/2016:23:54:47 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 635
190.45.39.240 - - [08/Jun/2016:23:54:55 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
190.45.39.240 - - [08/Jun/2016:23:55:09 -0400] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 635
